Item,Function,Quantity,Description,PartNumber,Vendor
1,CONNECTOR,25,TERM BLOCK PLUG 2POS STR 5.08MM,277-5723-ND,digikey
2,CONNECTOR,25,TERM BLOCK PLUG 4POS STR 5.08MM,277-5713-ND,digikey
3,CONNECTOR,25,TERM BLOCK PLUG 2POS STR 3.81MM,277-5750-ND,digikey
4,CONNECTOR,25,TERM BLOCK PLUG 4POS STR 3.81MM,277-5781-ND,digikey
5,CONNECTOR,10,CONN D-SUB PLUG 25P STR TERM BLK,277-2411-ND,digikey
6,CONNECTOR,10,CONN D-SUB RCPT 25P STR TERM BLK,277-2410-ND,digikey
7,CABLE,10,CABLE DB25M-DB25F 3M,AE9866-ND,digikey
8,MARKING,2,MEDIUM TIP PAINT MARKER BLACK,1597T2,mcmaster
9,MARKING,2,MEDIUM TIP PAINT MARKER LIGHT BLUE,1597T2,mcmaster
10,MARKING,2,MEDIUM TIP PAINT MARKER GREEN,1597T2,mcmaster
11,MARKING,2,MEDIUM TIP PAINT MARKER PINK,1597T2,mcmaster
12,MARKING,2,MEDIUM TIP PAINT MARKER RED,1597T2,mcmaster
13,MARKING,2,MEDIUM TIP PAINT MARKER WHITE,1597T2,mcmaster
14,MARKING,2,MEDIUM TIP PAINT MARKER BLUE,1597T2,mcmaster
15,MARKING,2,MEDIUM TIP PAINT MARKER GOLD,1597T2,mcmaster
16,MARKING,2,MEDIUM TIP PAINT MARKER ORANGE,1597T2,mcmaster
17,MARKING,2,MEDIUM TIP PAINT MARKER PURPLE,1597T2,mcmaster
18,MARKING,2,MEDIUM TIP PAINT MARKER SILVER,1597T2,mcmaster
19,MARKING,2,MEDIUM TIP PAINT MARKER YELLOW,1597T2,mcmaster
